text,label
휴지통이 비워져 있지 않았어요.,-1
휴게 공간이 넓어서 좋았어요.,1
엘리베이터가 느리긴 했지만 괜찮았어요.,0
도어락이 고장 나 있었어요.,-1
방의 조명이 약간 어두웠어요.,0
에어컨 리모컨이 작동 안 됐어요.,-1
주변이 시끄러워서 집중이 안 됐어요.,-1
체크아웃 시간도 여유 있어서 좋았어요.,1
침대가 너무 딱딱했어요.,-1
침대에서 머리카락이 나왔어요.,-1
조명이 너무 어두워서 불편했어요.,-1
불편한 점은 없었지만 특별히 좋지도 않았어요.,0
가격도 그렇고 다 적당했어요.,0
근처 관광지랑도 가까워서 이동이 쉬웠어요.,1
화장실 용품이 조금 부족했어요.,0
인근에 편의점이 있는 점은 좋았어요.,0
엘리베이터가 있었으면 더 좋았을 텐데요.,0
방마다 향기가 달라서 색다른 경험이었어요.,1
방음이 완벽하진 않았어요.,0
다시 올지는 모르겠지만 큰 불만은 없어요.,0
화장실 문이 잘 닫히지 않았어요.,0
침대 옆에 콘센트가 없었어요.,-1
포토존이 많아서 사진 찍기 좋았어요.,1
침대 위 쿠션이 폭신하고 예뻤어요.,1
접근성이 아주 좋지도 나쁘지도 않았어요.,0
화장실이 약간 좁지만 쓸 만했어요.,0
이불에 얼룩이 있어서 찝찝했어요.,-1
숙소 위치가 너무 외졌어요.,-1
불편한 점이 너무 많았어요.,-1
청소 상태가 완벽해서 기분 좋게 머물렀어요.,1
벽난로가 있는 휴게 공간이 너무 아늑했어요.,1
전기 콘센트가 고장 나 있었어요.,-1
보통 그 자체였습니다.,0
사진과는 너무 달라서 실망했어요.,-1
친구들에게 추천하고 싶은 숙소예요.,1
침대가 포근하고 잠자리가 편했어요.,1
가격대비 적당한 수준이라고 생각해요.,0
화장실 수압이 약간 아쉬웠어요.,0
엘리베이터가 없어서 힘들었어요.,-1
방에서 나오는 햇살이 너무 따뜻했어요.,1
에어컨이 고장 나서 더웠어요.,-1
여행 피로가 풀리는 힐링 숙소였어요.,1
전통 한옥 느낌이 잘 살아있었어요.,1
전체적으로 나쁘지 않았어요.,0
전체적으로 무난한 숙소였다고 생각해요.,0
청소하시는 분도 친절하게 인사해주셨어요.,1
슬리퍼가 낡고 더러웠어요.,-1
아침 식사는 제공되지 않았어요.,0
방 안에 콘센트가 조금 부족했어요.,0
방음이 조금 아쉽지만 견딜만 했어요.,0
모든 면에서 기대 이상이었어요.,1
프론트가 사람이 많아서 기다렸어요.,0
창문이 안 닫혀서 추웠어요.,-1
체크인 시간이 다소 느렸지만 이해 가능했어요.,0
편의시설이 가까워서 이용하기 좋았어요.,1
와이파이가 연결되지 않았어요.,-1
청소 상태가 아주 깔끔하진 않았어요.,0
조용하긴 했지만 인상적이진 않았어요.,0
주차 공간이 너무 협소했어요.,-1
건물 전체가 조금 오래된 느낌이었어요.,0
사진보다 조금 어두운 느낌이 있었어요.,0
주차 공간이 너무 협소해서 차 대기 힘들었어요.,-1
욕실 문이 제대로 닫히지 않았어요.,-1
욕조에 따뜻한 물이 잘 나와서 좋았어요.,1
욕실 타일이 깨져 있어서 위험했어요.,-1
조식이 너무 형편없었어요.,-1
욕실 조명이 너무 어두웠어요.,-1
조명이 너무 어두웠어요.,-1
화장실 냄새가 너무 심했어요.,-1
샤워기에서 물이 새었어요.,-1
숙소에 벌레가 있었어요.,-1
담요에 얼룩이 있었어요.,-1
주차 공간이 좁긴 했지만 주차는 가능했어요.,0
조식이 맛있고 다양해서 좋았어요.,1
청소가 제대로 안 된 듯 머리카락이 있었어요.,-1
체크아웃까지 여유 있게 머물 수 있었어요.,1
방이 너무 좁고 답답했어요.,-1
정말 힐링되는 하루였어요.,1
화장실이 너무 더러웠어요.,-1
냉장고와 전자레인지까지 있어 편리했어요.,1
청소가 제대로 안 돼 있었어요.,-1
객실 조명이 아늑한 분위기를 줬어요.,1
샤워기 수압이 아주 좋진 않았어요.,0
침대 다리가 부러져 있어서 놀랐어요.,-1
주변 소음은 크지 않았어요.,0
다음에도 꼭 다시 이용하고 싶어요.,1
프론트의 응대가 무난했어요.,0
건물 외관이 낡았지만 내부는 깔끔했어요.,0
딱 잠만 자기 좋은 숙소예요.,0
와이파이가 아예 안 잡혔어요.,-1
프론트 서비스가 조금 아쉬웠지만 무난했어요.,0
가격 대비 퀄리티가 훌륭했어요.,1
주차공간이 넉넉해서 편했어요.,1
욕실 수건이 넉넉하게 제공되어 좋았어요.,1
복도에서 소음이 계속 들렸어요.,-1
체크아웃 시간 연장도 친절하게 안내해주셨어요.,1
화장실 바닥이 젖어 있었어요.,-1
전혀 추천하고 싶지 않아요.,-1
정수기와 커피머신이 층마다 있어 편리했어요.,1
프론트 직원이 무례하게 응대했어요.,-1
프론트 직원이 여행 코스도 추천해줘서 좋았어요.,1
객실 온도가 딱 좋았어요.,1
잠만 자기엔 무난한 곳이에요.,0
근처에 맛집도 많고 교통도 편리했어요.,1
룸서비스 메뉴도 다양하고 맛있었어요.,1
방문을 세게 닫아야 닫혔어요.,-1
방 내부가 춥고 따뜻하지 않았어요.,-1
전반적으로 평이한 경험이었어요.,0
욕실 어메니티가 고급스럽고 만족스러웠어요.,1
직원 응대가 불친절했어요.,-1
위치가 좋긴 한데 특별하진 않았어요.,0
물이 잘 안 나와서 씻기 불편했어요.,-1
프론트 데스크가 엉망이었어요.,-1
소음이 심해서 잠을 못 잤어요.,-1
이불이 눅눅해서 기분이 나빴어요.,-1
방 안에 곰팡이 자국이 있었어요.,-1
숙소에 들어서자마자 향긋한 향이 나서 좋았어요.,1
사진보다 실물이 더 좋았어요.,1
벽지가 떨어져 있었어요.,-1
위치 빼고는 다 평범했어요.,0
방음이 전혀 안 돼서 옆방 소리가 그대로 들렸어요.,-1
방이 좀 작았지만 하루 묵기엔 괜찮았어요.,0
프론트에서 너무 오래 기다렸어요.,-1
욕실이 넓고 청결해서 만족했어요.,1
위치가 좋아서 여행하기 편했어요.,1
프론트 직원이 불친절했어요.,-1
도어락이 고장나서 불안했어요.,-1
이불에서 이상한 냄새가 났어요.,-1
리뷰처럼 그냥 그런 곳이었어요.,0
전등이 나가 있어서 방이 어두웠어요.,-1
근처에 산책로가 있어 산책하기 좋았어요.,1
청소 상태가 전혀 안 돼 있었어요.,-1
기대하지 않으면 괜찮은 곳이에요.,0
생각보다 방이 작았지만 하루 지내긴 괜찮았어요.,0
냉장고에 웰컴 드링크가 있어서 감동했어요.,1
창문으로 보이는 풍경이 인상 깊었어요.,1
음악이 잔잔하게 나와서 분위기가 좋았어요.,1
방에 거울과 조명이 많아서 편했어요.,1
편의점이 가까워서 간단한 물품 사기 좋았어요.,0
가격을 생각하면 납득할 수 있는 수준이에요.,0
수건이 두툼하고 흰색이라 믿음이 갔어요.,1
애완동물과 함께할 수 있어 좋았어요.,1
가격 대비 만족도가 낮아요.,-1
방이 춥고 난방이 안 됐어요.,-1
기억에 남지는 않지만 나쁘진 않았어요.,0
에어컨이 고장 나 있었어요.,-1
수건에서 냄새가 났어요.,-1
밤에 조용해서 푹 잘 수 있었어요.,1
객실 내 슬리퍼가 고급스러웠어요.,1
전체적으로 따뜻한 분위기의 인테리어였어요.,1
거울 조명이 밝아서 화장하기 좋았어요.,1
욕조에 물때가 껴 있었어요.,-1
기본 어메니티가 알차게 구성되어 있었어요.,1
에어컨이 약간 시끄러웠어요.,0
휴지통이 작았어요.,0
프론트에 사람이 없는 경우가 있었어요.,0
객실에서 와이파이 속도가 빨랐어요.,1
전반적으로 무난하고 조용했어요.,0
침구에서 향긋한 냄새가 났어요.,1
청소 상태는 평범했어요.,0
1박용 숙소로는 충분했어요.,0
비누 냄새가 조금 강했어요.,0
건물 외관은 낡았지만 내부는 괜찮았어요.,1
룸에서 보는 전경이 정말 아름다웠어요.,1
창밖으로 보이는 정원이 정말 아름다웠어요.,1
서비스 응대가 정중하고 빠릿했어요.,1
평범한 숙소라고 생각해요.,0
이불이 살짝 얇았어요.,0
가격 생각하면 이해할 수준이었어요.,0
공간 배치가 효율적이어서 편리했어요.,1
체크인할 때 웰컴 간식을 주셔서 좋았어요.,1
