sentence,result,label
가격대비 별로였어요 청소상태도 별로고 에어컨도 소리만 크고 시원하지 않았어요,가격 대비 만족스럽지 않았습니다. 청소 상태도 별로였고 에어컨은 소리만 크고 시원하지 않았습니다.,-1
방이 넓고 침구도 깨끗해서 가족들이랑 편하게 쉬었어요,방이 넓고 침구도 깨끗해서 가족들과 편하게 쉴 수 있었습니다.,1
전주역이랑 가까워서 교통은 편했는데 방음이 잘 안돼서 소음이 조금 거슬렸어요,전주역과 가까워 교통은 편리했지만 방음이 잘 안 돼 소음이 다소 거슬렸습니다.,0
사장님이 정말 친절하시고 방도 넓고 깨끗해요 다음에 또 이용하고 싶어요,사장님이 정말 친절하시고 방도 넓고 깨끗했습니다. 다음에 또 이용하고 싶어요.,1
샤워기 수압이 너무 약해서 씻는데 답답했어요 시설은 전반적으로 낡았고 침대도 불편했어요,샤워기 수압이 너무 약해서 씻는 데 답답함이 있었습니다. 전반적으로 시설이 낡았고 침대도 불편했어요.,-1
위치가 좋아서 걸어서 한옥마을 갈 수 있어서 좋았어요 방도 조용하고 깔끔했어요,위치가 좋아 한옥마을까지 도보 이동이 가능했고 방도 조용하고 깔끔했습니다.,1
사진이랑 다르게 방이 작고 답답했어요,사진과 다르게 방이 작고 답답한 느낌이었습니다.,-1
편의점도 가깝고 전반적으로 만족스러웠어요,근처에 편의점도 있고 전반적으로 만족스러웠습니다.,1
방이 조금 어두웠지만 나머지는 괜찮았어요,방이 조금 어두웠지만 나머지는 괜찮았습니다.,0
체크인 시간이 늦어 걱정했는데 친절하게 응대해주셔서 감사했어요,체크인 시간이 늦어 걱정했는데 친절하게 응대해주셔서 감사했습니다.,1
전반적으로 만족스러웠지만 욕실 환풍기 소리가 너무 컸어요,전반적으로 만족스러웠지만 욕실 환풍기 소리가 너무 컸습니다.,0
에어컨이 시원하지 않아서 밤새 덥게 잤어요,에어컨이 제대로 작동하지 않아 밤새 더웠습니다.,-1
조용하고 아늑해서 푹 쉬다 갑니다,조용하고 아늑해서 편하게 잘 쉬고 갑니다.,1
주차 공간이 좁아서 주차하는 데 조금 힘들었어요,주차 공간이 협소해서 주차에 어려움이 있었습니다.,0
가격도 저렴하고 위치도 좋았어요 다음에 또 이용할게요,가격도 저렴하고 위치도 좋아서 다음에 또 이용하고 싶습니다.,1
방이 생각보다 작고 담배 냄새가 났어요 다시는 이용 안 할 듯,방이 생각보다 작고 담배 냄새가 심하게 났습니다. 다시 이용하고 싶지 않아요.,-1
직원분이 친절하시고 청소 상태도 좋았어요,직원분이 친절하시고 청소 상태도 좋아서 기분 좋게 머물렀습니다.,1
침대가 푹신하고 조용해서 편하게 쉬었어요,침대가 푹신하고 조용해서 편하게 쉴 수 있었습니다.,1
전주 한옥마을과 가까워서 좋았고 시설도 깔끔했어요,전주 한옥마을과 가까워서 좋았고 시설도 깔끔해서 만족스러웠습니다.,1
침대 매트리스가 너무 푹신해서 허리가 아팠어요,침대 매트리스가 너무 푹신해서 허리에 무리가 갔습니다.,-1
아침에 조식도 제공되어서 좋았고 깔끔하게 정리돼 있었어요,아침에 제공되는 조식도 만족스러웠고 숙소가 깔끔하게 정리되어 있었습니다.,1
숙소 외관은 별로였지만 내부는 깔끔하고 괜찮았어요,숙소 외관은 조금 아쉬웠지만 내부는 깔끔하고 만족스러웠습니다.,0
에어컨에서 곰팡이 냄새가 나서 불쾌했어요,에어컨에서 곰팡이 냄새가 나서 불쾌한 경험이었습니다.,-1
주변이 조용하고 위치도 좋아요 밤늦게 들어와도 무섭지 않았어요,주변이 조용하고 위치도 좋아서 밤늦게 들어와도 전혀 무섭지 않았습니다.,1
화장실에 머리카락이 그대로 있었어요 청소가 덜 된 느낌이었어요,화장실에 머리카락이 남아 있었고 전반적으로 청소가 덜 된 느낌이었습니다.,-1
친절한 응대와 청결한 방 상태 모두 만족했어요,친절한 응대와 청결한 객실 상태 모두 만족스러웠습니다.,1
층간 소음이 조금 있었지만 전반적으로 괜찮았어요,층간 소음이 다소 있었지만 전반적으로는 괜찮았습니다.,0
역이랑 가까워서 교통이 정말 편리했어요,역과 가까워서 교통이 매우 편리했습니다.,1
방이 깨끗하고 조용해서 혼자 쉬기 좋아요,방이 깨끗하고 조용해서 혼자 머무르기에 좋았습니다.,1
주차장 자리가 너무 좁아서 주차하는 데 애먹었어요,주차장이 너무 좁아 주차하는 데 어려움을 겪었습니다.,-1
이불에서 향긋한 냄새가 나서 좋았어요,이불에서 향긋한 냄새가 나서 기분 좋게 잘 수 있었습니다.,1
방음이 전혀 안 돼서 옆방 소리가 다 들렸어요,방음이 전혀 되지 않아 옆방 소리가 그대로 들려 불편했습니다.,-1
숙소가 아늑하고 조용해서 잘 쉬고 왔어요,숙소가 아늑하고 조용해서 편안하게 쉴 수 있었습니다.,1
청소 상태가 깔끔하고 어메니티도 잘 준비돼 있었어요,청소 상태가 깔끔했고 어메니티도 잘 준비되어 있었습니다.,1
TV가 고장 나 있었고 리모컨도 작동이 안 됐어요,TV가 고장 나 있었고 리모컨도 작동하지 않아 불편했습니다.,-1
위치가 정말 좋아서 어디든 걸어서 다니기 편했어요,위치가 정말 좋아 어디든 도보 이동이 편리했습니다.,1
새벽에 온수 사용이 안 돼서 불편했어요,새벽 시간에 온수가 나오지 않아 불편했습니다.,-1
전반적으로 가성비 괜찮고 깨끗했어요,전반적으로 가성비가 좋고 숙소도 깨끗해서 만족스러웠습니다.,1
콘센트가 부족해서 불편했지만 나머지는 괜찮았어요,콘센트가 부족해서 다소 불편했지만 나머지는 괜찮았습니다.,0
욕실에 곰팡이가 보여서 찝찝했어요,욕실에 곰팡이가 보여 위생적으로 불쾌했습니다.,-1
체크인 응대가 친절하고 빠르게 진행되어 좋았어요,체크인 응대가 친절하고 빠르게 진행되어 좋았습니다.,1
방이 너무 추워서 히터를 따로 요청했어요,방이 너무 추워 히터를 따로 요청해야 했습니다.,-1
지하철역이 가까워서 교통이 편리했어요,지하철역과 가까워 교통이 매우 편리했습니다.,1
냉장고에 이전 투숙객 음식이 남아 있었어요,냉장고 안에 이전 투숙객의 음식이 남아 있어 위생적으로 불쾌했습니다.,-1
객실 상태가 깨끗하고 쾌적했어요,객실 상태가 깨끗하고 쾌적해서 만족스러웠습니다.,1
창문이 없어서 답답했지만 조용했어요,창문이 없어 다소 답답했지만 조용한 환경은 괜찮았습니다.,0
침구가 뽀송하고 포근해서 꿀잠 잤어요,침구가 뽀송하고 포근해서 깊은 숙면을 취할 수 있었습니다.,1
주변 소음이 너무 심해서 새벽까지 잠 못 잤어요,주변 소음이 심해 새벽까지 잠을 설쳤습니다.,-1
체크아웃 시간 넉넉해서 여유롭게 나올 수 있었어요,체크아웃 시간이 여유로워 느긋하게 준비하고 나올 수 있었습니다.,1
수건에서 냄새가 나서 사용하기 꺼려졌어요,수건에서 냄새가 나 위생적으로 사용하기 꺼려졌습니다.,-1
방이 넓고 정돈도 잘 되어 있어서 편하게 쉬었어요,방이 넓고 정돈도 잘 되어 있어 편하게 쉴 수 있었습니다.,1
화장실 문이 잘 안 닫혀서 불편했어요,화장실 문이 제대로 닫히지 않아 다소 불편했습니다.,-1
전반적으로 조용하고 깔끔해서 만족스러웠어요,전반적으로 조용하고 깔끔해서 만족스러운 숙박이었습니다.,1
샴푸랑 린스가 없어서 불편했어요,샴푸와 린스가 비치되어 있지 않아 불편했습니다.,-1
사장님이 친절하게 설명도 잘 해주셔서 좋았어요,사장님께서 친절하게 설명해주셔서 편하게 이용할 수 있었습니다.,1
방이 너무 습하고 곰팡이 냄새가 났어요,방이 지나치게 습하고 곰팡이 냄새가 나 불쾌했습니다.,-1
위치가 중심가랑 가까워서 다니기 좋았어요,위치가 중심가와 가까워 이동하기에 매우 편리했습니다.,1
에어컨은 잘 나왔고 전체적으로 무난했어요,에어컨은 잘 작동했고 전반적으로 무난한 숙소였습니다.,0
침대가 너무 푹신해서 허리가 아팠어요,침대가 너무 푹신해 허리에 통증이 있었습니다.,-1
프런트 직원이 무뚝뚝해서 기분이 상했어요,프런트 직원의 응대가 무뚝뚝해서 기분이 좋지 않았습니다.,-1
근처에 편의점이 있어서 편했어요,숙소 근처에 편의점이 있어 이용하기 편리했습니다.,1
새벽에 옆방 소리에 계속 깼어요,새벽에 옆방 소음 때문에 자주 깼습니다.,-1
객실 정리가 잘 되어 있어서 깔끔했어요,객실이 잘 정리되어 있어 깔끔하고 기분 좋았습니다.,1
온수가 잘 안 나와서 불편했어요,온수가 잘 나오지 않아 씻는 데 불편함이 있었습니다.,-1
시트가 깨끗하고 침구가 포근했어요,시트가 깨끗하고 침구도 포근해서 만족스러웠습니다.,1
냉장고가 고장 나 있어서 음식 보관이 어려웠어요,냉장고가 고장 나 있어서 음식 보관에 불편이 있었습니다.,-1
체크아웃 시간 여유로워서 좋았어요,체크아웃 시간이 넉넉해서 여유 있게 준비할 수 있었습니다.,1
방에서 담배 냄새가 나서 환기를 계속 시켜야 했어요,객실 내 담배 냄새가 심해 계속 환기해야 했습니다.,-1
위치가 좋아서 이동하기 편리했어요,위치가 좋아서 이동이 매우 편리했습니다.,1
객실 문이 너무 헐거워서 불안했어요,객실 문이 너무 헐거워 보안에 불안함을 느꼈습니다.,-1
방이 따뜻하고 아늑해서 편하게 쉬었어요,방이 따뜻하고 아늑해서 편하게 쉴 수 있었습니다.,1
화장실에서 물이 잘 안 내려가서 불편했어요,화장실 배수가 원활하지 않아 불편했습니다.,-1
입실 전에 안내 문자가 와서 좋았어요,입실 전에 안내 문자를 받아 편리하게 이용할 수 있었습니다.,1
전등이 깜빡거려서 신경 쓰였어요,전등이 깜빡거려서 머무는 동안 신경이 많이 쓰였습니다.,-1
숙소 위치가 좋아서 관광지 접근성이 좋았어요,숙소 위치가 좋아 관광지로 이동하기 편리했습니다.,1
방이 어두워서 전체적으로 분위기가 칙칙했어요,객실 조명이 어두워 전체적으로 분위기가 칙칙하게 느껴졌습니다.,-1
매트리스가 편하고 침구도 깨끗했어요,매트리스가 편안했고 침구도 청결해서 만족스러웠습니다.,1
소음이 거의 없어서 조용히 잘 수 있었어요,소음이 거의 없어 조용히 숙면을 취할 수 있었습니다.,1
세면대가 막혀 있어서 물이 잘 안 빠졌어요,세면대가 막혀 있어 물 빠짐이 좋지 않았습니다.,-1
화장실에서 악취가 났어요,화장실에서 악취가 나 불쾌했습니다.,-1
직원분이 친절하게 설명해주셔서 좋았어요,직원분께서 친절하게 설명해주셔서 편하게 이용할 수 있었습니다.,1
침대 프레임이 흔들려서 잘 때 불안했어요,침대 프레임이 흔들려서 숙면을 취하기 어려웠습니다.,-1
욕실 어메니티가 다양해서 좋았어요,욕실에 어메니티가 다양하게 준비되어 있어 좋았습니다.,1
방에 먼지가 많아서 알레르기 반응이 있었어요,방에 먼지가 많아 알레르기 반응이 생겨 불편했습니다.,-1
조용하고 분위기가 좋아서 만족스러웠어요,조용하고 분위기가 좋아 만족스러운 시간을 보냈습니다.,1
입구 찾기 힘들었지만 내부는 괜찮았어요,입구를 찾는 데 어려움이 있었지만 내부는 괜찮았습니다.,0
아침에 청소기 소음이 너무 시끄러웠어요,아침 시간에 청소기 소음이 심해 불편했습니다.,-1
창밖 풍경이 예뻐서 힐링됐어요,창밖 풍경이 아름다워 힐링이 되는 숙박이었습니다.,1
체크인 시 대기 시간이 길어서 아쉬웠어요,체크인 시 대기 시간이 길어 다소 아쉬웠습니다.,-1
